Wavelength  Flux
#[Angstrom]  [Flux per Angstrom]
4787.47         81.95575
4788.47           78.829
4789.47         80.14893
4790.47         84.88559
4791.47         86.73038
4792.47         85.04064
4793.47         85.04513
4794.47         87.76128
4795.47         88.53469
4796.47         87.51544
4797.47         87.25287
4798.47         86.70097
4799.47         85.77475
4800.47         85.81457
4801.47         86.46304
4802.47         87.30748
4803.47         87.95956
4804.47         87.10944
4805.47         84.72758
4806.47         81.38405
4807.47         78.36611
4808.47         77.47232
4809.47         77.91734
4810.47         79.12498
4811.47         82.05556
4812.47         86.05274
4813.47         88.16872
4814.47         86.88168
4815.47         85.66592
4816.47         86.46894
4817.47         86.78469
4818.47         85.83451
4819.47          83.8709
4820.47         79.97519
4821.47         75.02008
4822.47         72.20228
4823.47         73.53239
4824.47         77.61206
4825.47         81.06054
4826.47         81.77525
4827.47         80.90781
4828.47         80.66786
4829.47         80.80659
4830.47         79.51476
4831.47         77.29202
4832.47         77.16084
4833.47         79.59965
4834.47         81.25132
4835.47         80.94952
4836.47         81.08478
4837.47         81.98817
4838.47         81.32931
4839.47         79.99727
4840.47         80.88636
4841.47         81.75172
4842.47         79.43063
4843.47         76.12696
4844.47         74.31618
4845.47         75.07588
4846.47         77.68049
4847.47         78.99409
4848.47         78.16397
4849.47         76.11644
4850.47          72.4513
4851.47         68.13435
4852.47         65.35111
4853.47         64.92189
4854.47         66.35411
4855.47         69.53994
4856.47         77.50259
4857.47         92.70318
4858.47         114.3086
4859.47          138.063
4860.47          153.143
4861.47         147.0993
4862.47         121.8716
4863.47          93.3557
4864.47          73.2013
4865.47         63.46165
4866.47         63.25249
4867.47         68.07654
4868.47         71.33253
4869.47         71.83452
4870.47          72.1464
4871.47         73.14449
4872.47         73.15862
4873.47         71.27488
4874.47         68.75834
4875.47         66.92134
4876.47         66.64828
4877.47         67.06206
4878.47         67.53516
4879.47         70.87898
4880.47         76.95152
4881.47         80.21056
4882.47         79.23837
4883.47         77.86326
4884.47         78.92632
4885.47         80.96967
4886.47         82.30613
4887.47          82.4967
4888.47         81.75873
4889.47         80.55624
4890.47         79.33334
4891.47         80.12057
4892.47         83.99602
4893.47         88.36822
4894.47         90.97253
4895.47         92.80054
4896.47         92.27612
4897.47         87.98981
4898.47          84.2346
4899.47         84.28981
4900.47         85.87017
4901.47         84.55038
4902.47         80.69181
4903.47         80.03523
4904.47         83.62573
4905.47         88.20831
4906.47         92.05684
4907.47         92.73417
4908.47         89.54673
4909.47         86.52479
4910.47         86.57881
4911.47         87.74033
4912.47         87.33849
